E_CT.01,E_CT.02,E_CT.03,E_CX.01,E_CX.02,E_CX.03,E_SQ.01,E_SQ.02,E_T.01,E_T.02,E_T.03,E_S.01,E_S.02
4,5,4,5,5,4,4,4,5,4,4,5,4
5,4,5,5,4,5,4,4,4,4,4,4,5
4,3,3,4,5,4,3,4,5,5,4,4,4
5,5,5,5,5,4,4,4,5,5,4,5,4
4,4,4,4,4,4,4,3,4,5,4,4,4
5,4,4,4,4,5,4,5,4,4,4,5,5
5,5,4,3,4,5,4,4,4,4,4,5,4
4,4,4,5,5,4,4,4,4,5,4,5,4
2,2,3,3,3,3,3,2,2,2,2,2,3
3,4,4,4,4,5,5,4,5,4,4,4,4
4,4,4,4,5,5,4,4,5,4,4,4,5
4,4,5,5,5,5,4,4,4,4,4,4,4
4,5,4,5,4,4,4,4,4,4,4,5,5
5,4,4,4,4,4,4,4,4,5,4,4,5
5,4,4,5,4,4,5,4,4,5,4,4,5
4,4,5,4,4,5,5,4,4,4,4,4,4
4,4,5,4,5,4,5,4,4,5,4,5,5
4,4,4,3,4,4,5,4,5,4,4,4,4
4,4,4,4,4,5,5,5,4,4,5,5,5
5,4,4,4,5,4,4,4,5,4,4,4,4
4,5,4,4,4,4,4,5,4,4,5,5,4
4,5,4,4,4,4,5,4,4,3,4,4,4
4,5,4,4,5,5,4,4,3,4,4,5,4
4,4,3,3,4,4,4,4,4,4,5,4,4
4,4,5,4,4,3,4,4,4,4,4,4,4
4,5,4,5,4,5,4,5,5,4,5,4,5
5,5,4,5,5,4,4,5,4,4,5,5,4
5,4,4,4,4,4,5,5,5,5,5,5,5
4,3,3,4,5,4,4,3,4,4,3,4,4
3,4,3,4,4,3,3,4,3,2,4,5,3
5,5,5,5,5,5,5,5,5,4,5,5,5
5,5,5,4,5,4,5,5,5,4,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,4,4,5,4,4,5,4,5,5,5,5
5,5,5,5,4,5,5,5,4,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5
5,4,5,4,5,5,5,5,5,4,5,5,5
4,4,5,5,4,4,5,4,4,5,4,5,4
5,5,5,4,4,4,4,4,4,4,4,5,4
4,5,4,4,4,5,4,5,3,4,5,5,4
